chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1602505800,2020-10-12T12:30:00Z,9A7KXP-9,9A7KXP-4?,27(12/5),1,`,9A7KXP-9,/>,45.823333,16.288500,31.0,1.0,104.0,144.725,,,Unknown manufacturer,Off Duty,,"144.725 ili 438.750 FM,438.4625 C4FM"
0,1602505800,2020-10-12T12:30:00Z,9A1AYZ-11,9A1AYZ-11,38(14/6),0,T,9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=174, A1=250, A2=138, A3=0, A4=1, A5=135, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602506020,2020-10-12T12:33:40Z,9A6FEJ-1,9A7KXP-4?,28(11/5),1,!,9A6FEJ-1,/-,45.136500,14.781333,,,,145.500,,,SQ3PLX http://microsat.com.pl/,,,9A6FEJ  145.500MHz
0,1602506044,2020-10-12T12:34:04Z,9A7KXP-12,9A7KXP-4?,25(13/5),0,!,9A7KXP-12,/2,44.993000,15.265667,,,,,,,Open Track,,, 12.2V 14C Solarni APRS digi Lika-Brinje asl 975m CRLNet.075
0,1602506282,2020-10-12T12:38:02Z,S55YRK,9A7KXP-4?,29(12/5),1,!,S55YRK,D#,46.558667,14.929333,,,,,,,"DireWolf, WB2OSZ",,,"APRS Digi/iGate, Brinjeva gora"
0,1602506300,2020-10-12T12:38:20Z,9A1AYZ-10,9A1AYZ-10,33(16/6),0,!,9A1AYZ-10,/#,45.854333,16.050000,,,,,,,>40 APRSmax,,,9A1AYZ Grad Mladih JN85AU
0,1602506302,2020-10-12T12:38:22Z,9A1AYZ-10,9A7KXP-4,29(12/5),1,!,9A1AYZ-10,/#,45.854333,16.050000,,,,,,,>40 APRSmax,,,9A1AYZ Grad Mladih JN85AU
0,1602506405,2020-10-12T12:40:05Z,9A1AYZ-11,9A1AYZ-11,36(14/5),1,!,9A1AYZ-11,/I,45.742000,15.605167,,,,,,,SQ3PLX http://microsat.com.pl/,,,iGate&W1 JAPETIC   RK Dubrava  https://www.croatia-digital-group.com
0,1602506408,2020-10-12T12:40:08Z,9A1AYZ-11,9A1AYZ-10,34(15/5),0,!,9A1AYZ-11,/I,45.742000,15.605167,,,,,,,SQ3PLX http://microsat.com.pl/,,,iGate&W1 JAPETIC   RK Dubrava  https://www.croatia-digital-group.com
0,1602506419,2020-10-12T12:40:19Z,S55YBO-2,9A7KXP-4?,29(12/5),1,!,S55YBO-2,/#,46.290167,15.599500,,,,,,,Experimental,,,/APRS DIGI Mt. BOC-980 m ASL (UIDIGI1.8) 3
0,1602506467,2020-10-12T12:41:07Z,9A1AYZ-12,9A1AYZ-10,34(15/5),0,!,9A1AYZ-12,/5,44.828000,14.992833,,,,,,,Open Track,,, 13.2V 0C Solarni APRS Digi-Velebitska Pljesivica asl 1656m CRLNet111
0,1602506468,2020-10-12T12:41:08Z,9A1AYZ-12,9A1AYZ-10,33(16/5),0,T,9A1AYZ-12,/j,,,,,,,,,Open Track,,"Seq=25, A1=530, A2=0, A3=0, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602506643,2020-10-12T12:44:03Z,IZ4EFV,9A7KXP-4?,28(12/5),0,',IZ4EFV,/-,43.988167,12.634167,0.0,,,,,,Kenwood TM-D700,En Route,,facebookradioclubilpassatore
0,1602506646,2020-10-12T12:44:06Z,9A7KXP-10,9A1AYZ-10,37(16/5),0,=,9A7KXP-10,/Z,45.829833,16.292500,,,,,,,UIview 32 bit apps,,,APRS Poruke  i upravljanje {UIV32N}
0,1602506657,2020-10-12T12:44:17Z,S55YZA-11,9A7KXP-4?,25(12/5),0,T,S55YZA-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=48, A1=176, A2=107, A3=26, A4=65, A5=148, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602506889,2020-10-12T12:48:09Z,IR6AF,9A7KXP-4?,27(12/5),1,!,IR6AF,/#,43.660833,13.216833,,,,,,,UIdigi,,,2/UIDIGI 1.9b3 - Digi CISAR ANCONA
0,1602506924,2020-10-12T12:48:44Z,9A7KXP-11,9A1AYZ-10,34(16/5),0,T,9A7KXP-11,/O,,,,,,,,,Open Track,,"Seq=9, A1=122, A2=127, A3=122, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602506927,2020-10-12T12:48:47Z,9A7KXP-11,9A7KXP-4,26(11/5),1,T,9A7KXP-11,/O,,,,,,,,,Open Track,,"Seq=9, A1=122, A2=127, A3=122, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602506967,2020-10-12T12:49:27Z,9A7KXP-4,9A1AYZ-10,32(15/5),0,!,9A7KXP-4,/3,45.778833,16.062000,,,,,,,Open Track,,, 00.0V 10C APRS Digi Zagreb CRLNet.076
